City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,sona,45.4388,10.8255,24.36,64,20,1.54,IT,1691569839
256,svetlyy,54.675,20.1347,16.03,59,24,6.85,RU,1691569839
257,andovoranto,-18.95,49.1,24.13,66,9,4.09,MG,1691569839
258,new plymouth,-39.0667,174.0833,9.34,80,79,3.85,NZ,1691569596
259,hailar,49.2,119.7,23.15,55,43,2.98,CN,1691569840
260,kozel'sk,54.0375,35.7716,23.4,46,100,4.23,RU,1691569840
261,peterhead,57.5058,-1.7981,13.58,65,48,10.48,GB,1691569840
262,qujing,25.4833,103.7833,24.68,70,55,3.51,CN,1691569840
263,natal,-5.795,-35.2094,23.36,100,75,4.12,BR,1691569840
264,dryden,49.7833,-92.7503,11.16,93,0,2.06,CA,1691569840
265,bocas del toro,9.3333,-82.25,22.78,84,100,3.06,PA,1691569811
266,lautoka,-17.6167,177.4667,23.92,78,40,2.06,FJ,1691569841
267,port lincoln,-34.7333,135.8667,13.77,81,99,8.6,AU,1691569841
268,kapa'a,22.0752,-159.319,27.99,81,100,10.8,US,1691569841
269,maracas,-13.4411,-40.4308,15.98,86,98,2.8,BR,1691569841
270,flying fish cove,-10.4217,105.6791,25.82,78,75,6.69,CX,1691569841
271,anadyr,64.75,177.4833,10.28,71,75,3.0,RU,1691569841
272,madalena,41.2162,-8.3345,18.59,93,4,1.97,PT,1691569841
273,tromso,69.6496,18.957,26.32,56,0,9.26,NO,1691569842
274,kachug,53.9606,105.8817,17.81,98,100,0.72,RU,1691569842
275,portland,45.5234,-122.6762,20.67,71,0,2.06,US,1691569309
276,ozieri,40.586,9.0012,26.55,23,0,1.97,IT,1691569842
277,conde,-7.2597,-34.9075,21.7,94,40,2.57,BR,1691569842
278,waingapu,-9.6567,120.2641,27.01,57,58,7.12,ID,1691569842
279,sao gabriel da cachoeira,-0.1303,-67.0892,22.21,98,69,0.71,BR,1691569751
280,notodden,59.5594,9.2585,14.92,71,75,2.06,NO,1691569842
281,paredon,16.0333,-93.8667,26.34,86,100,2.61,MX,1691569843
282,retreat,38.8245,-85.8533,19.51,99,4,1.87,US,1691569843
283,road town,18.4167,-64.6167,29.05,79,82,8.31,VG,1691569561
284,jalalabad,34.4265,70.4515,39.61,21,0,2.53,AF,1691569843
285,labytnangi,66.6572,66.4183,15.1,60,100,1.22,RU,1691569843
286,mankono,8.0586,-6.1897,23.14,92,99,3.35,CI,1691569843
287,brazzaville,-4.2658,15.2832,23.2,73,75,4.63,CG,1691569843
288,santa rosa,14.3122,121.1114,32.28,76,64,6.23,PH,1691569844
289,camayenne,9.535,-13.6878,25.79,85,94,1.28,GN,1691569844
290,santa cruz,-17.8,-63.1667,19.27,46,0,4.03,BO,1691569844
291,pacific grove,36.6177,-121.9166,16.12,90,100,2.57,US,1691569632
292,cullowhee,35.3137,-83.1765,18.81,97,100,0.0,US,1691569844
293,alaghsas,17.0187,8.0168,28.94,70,0,3.09,NE,1691569844
294,minas de marcona,-15.2119,-75.1103,11.63,90,62,4.66,PE,1691569841
295,sitka,57.0531,-135.33,14.94,88,100,2.06,US,1691569845
296,whangarei,-35.7317,174.3239,6.75,93,92,1.41,NZ,1691569845
297,nogliki,51.8333,143.1667,14.35,84,76,4.66,RU,1691569714
298,goleniow,53.5639,14.8285,15.34,72,20,3.6,PL,1691569845
299,naze,28.3667,129.4833,26.51,88,100,9.0,JP,1691569845
300,harper,4.375,-7.7169,24.16,87,100,5.46,LR,1691569846
301,thames,-37.1333,175.5333,7.12,88,47,1.35,NZ,1691569846
302,gubat,12.9206,124.1231,30.35,72,42,5.04,PH,1691569846
303,shimokizukuri,40.8061,140.3861,32.51,68,81,0.74,JP,1691569846
304,sydney,-33.8679,151.2073,17.61,72,0,6.17,AU,1691569642
305,taltal,-25.4,-70.4833,15.6,70,21,2.25,CL,1691569846
306,gandajika,-6.75,23.95,31.91,20,0,2.87,CD,1691569846
307,kudahuvadhoo,2.6708,72.8944,28.29,71,51,4.84,MV,1691569846
308,novo aripuana,-5.1206,-60.3797,23.04,70,11,0.39,BR,1691569847
309,san antonio de pale,-1.4014,5.6325,23.42,78,100,5.55,GQ,1691569847
310,onguday,50.75,86.15,22.37,55,95,2.16,RU,1691569847
311,jolo,6.05,121.0167,29.7,65,83,3.36,PH,1691569733
312,alofi,-19.0595,-169.9187,24.94,94,5,1.54,NU,1691569747
313,rawson,-43.3002,-65.1023,13.1,43,100,6.32,AR,1691569847
314,bayganin,48.6947,55.8742,31.33,22,0,7.75,KZ,1691569847
315,chegdomyn,51.1167,133.0167,18.68,67,100,0.83,RU,1691569848
316,qui nhon,13.7667,109.2333,35.14,49,98,6.7,VN,1691569848
317,dhidhdhoo,6.8833,73.1,28.4,75,100,7.18,MV,1691569708
318,extrema,-22.8547,-46.3183,15.48,91,89,1.73,BR,1691569848
319,singkawang,0.9,109.0,28.51,78,60,3.76,ID,1691569848
320,luuq,3.7938,42.5445,32.58,35,10,9.75,SO,1691569849
321,remire-montjoly,4.9167,-52.2667,23.02,100,0,1.03,GF,1691569830
322,vilyuchinsk,52.9306,158.4028,21.15,67,15,3.79,RU,1691569849
323,carutapera,-1.195,-46.02,24.72,87,45,3.43,BR,1691569849
324,baturaja,-4.1333,104.1667,31.41,51,67,2.21,ID,1691569849
325,princeton,25.5384,-80.4089,30.57,90,0,1.54,US,1691569849
326,brisas de zicatela,15.8369,-97.0419,26.42,87,88,2.41,MX,1691569849
327,mugia,43.1041,-9.2179,19.95,88,91,7.91,ES,1691569849
328,riberalta,-10.9833,-66.1,22.52,62,73,0.36,BO,1691569850
329,san jeronimito,17.55,-101.3333,26.23,92,59,1.69,MX,1691569850
330,butembo,0.15,29.2833,22.54,58,69,1.25,CD,1691569850
331,danghara,38.0958,69.34,37.12,11,0,3.77,TJ,1691569850
332,bir el ater,34.7449,8.0602,29.97,32,0,4.65,DZ,1691569850
333,yako,12.9667,-2.2667,28.01,62,73,4.0,BF,1691569850
334,mossel bay,-34.1831,22.146,15.96,74,0,3.39,ZA,1691569851
335,machico,32.7,-16.7667,24.35,79,20,0.51,PT,1691569851
336,polyarnyy,69.1989,33.4478,22.66,63,0,3.59,RU,1691569851
337,kartaly,53.0522,60.6467,16.12,92,100,5.81,RU,1691569560
338,corner brook,48.9667,-57.9484,12.09,90,100,2.17,CA,1691569851
339,namibe,-15.1961,12.1522,20.35,73,11,1.69,AO,1691569851
340,hadibu,12.65,54.0333,27.12,71,96,12.33,YE,1691569785
341,thanh pho uong bi,21.0333,106.7833,30.99,79,99,2.91,VN,1691569851
342,el matama,16.7095,33.3565,35.21,37,19,8.28,SD,1691569818
343,las tablas,7.7667,-80.2833,26.21,99,99,0.4,PA,1691569851
344,buta,2.7858,24.73,23.65,90,96,0.14,CD,1691569852
345,nong wua so,17.1626,102.5727,31.66,85,96,2.46,TH,1691569852
346,touros,-5.1989,-35.4608,23.24,91,99,5.02,BR,1691569564
347,penalva,-3.2942,-45.1736,22.51,99,47,1.13,BR,1691569852
348,boma,7.0805,-2.1697,22.88,97,100,2.4,GH,1691569852
349,geraldton,-28.7667,114.6,19.23,59,0,4.63,AU,1691569837
350,kone,-21.0595,164.8658,17.27,75,37,2.79,NC,1691569853
351,aksu,41.1231,80.2644,34.86,18,2,2.48,CN,1691569853
352,san antonio,29.4241,-98.4936,28.04,68,0,5.14,US,1691569789
353,barreirinhas,-2.7469,-42.8264,25.47,83,48,4.88,BR,1691569854
354,gurupi,-11.7292,-49.0686,23.24,39,57,2.56,BR,1691569854
355,trairi,-3.2778,-39.2689,24.14,84,93,4.07,BR,1691569855
356,navoiy,40.0844,65.3792,33.71,17,0,2.06,UZ,1691569855
357,zboriv,49.6648,25.141,19.21,58,20,3.27,UA,1691569855
358,tacuarembo,-31.7333,-55.9833,11.47,76,100,3.49,UY,1691569855
359,masterton,-40.9597,175.6575,4.38,93,24,0.87,NZ,1691569855
360,sibiti,-3.6819,13.3499,24.49,60,83,2.19,CG,1691569856
361,lospalos,-8.5186,127.0025,23.97,70,57,4.62,TL,1691569773
